Entry	Entry name	Protein names	Gene names	Gene names  (synonym )	Gene names  (primary )	Mass	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Subcellular location [CC]	Tissue specificity
P0AAG8	MGLA_ECOLI	Galactose/methyl galactoside import ATP-binding protein MglA (EC 7.5.2.11)	mglA b2149 JW2136		mglA	56,415	cellular response to DNA damage stimulus [GO:0006974]; galactose transmembrane transport [GO:0015757]; methylgalactoside transport [GO:0015765]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; ABC-type carbohydrate transporter activity [GO:0043211]; ATP binding [GO:0005524]; galactose transmembrane transporter activity [GO:0005354]; methylgalactoside transmembrane transporter activity [GO:0015592]; cellular response to DNA damage stimulus [GO:0006974]; galactose transmembrane transport [GO:0015757]; methylgalactoside transport [GO:0015765]	ABC-type carbohydrate transporter activity [GO:0043211]; ATP binding [GO:0005524]; galactose transmembrane transporter activity [GO:0005354]; methylgalactoside transmembrane transporter activity [GO:0015592]	GO:0005354; GO:0005524; GO:0005886; GO:0006974; GO:0015592; GO:0015757; GO:0015765; GO:0043211	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:6294056}; Peripheral membrane protein {ECO:0000305|PubMed:6294056}.	
P0A749	MURA_ECOLI	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ b3189 JW3156	murZ	murA	44,818	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	cytosol [GO:0005829]	cytosol [GO:0005829]; UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]	GO:0005829; GO:0007049; GO:0008360; GO:0008760; GO:0009252; GO:0019277; GO:0051301; GO:0071555	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00111, ECO:0000305}.	
P77737	OPPF_ECOLI	Oligopeptide transport ATP-binding protein OppF	oppF b1247 JW1239		oppF	37,198	protein transport [GO:0015031]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; protein transport [GO:0015031]	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0005886; GO:0015031; GO:0042626	SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein.	
P23837	PHOQ_ECOLI	Sensor protein PhoQ (EC 2.7.13.3) (EC 3.1.3.-) (Sensor histidine protein kinase/phosphatase PhoQ)	phoQ b1129 JW1115		phoQ	55,300	cellular response to magnesium starvation [GO:0010350]; osmosensory signaling via phosphorelay pathway [GO:0007234]; phosphorelay signal transduction system [GO:0000160]; protein autophosphorylation [GO:0046777]; signal transduction [GO:0007165]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoprotein phosphatase activity [GO:0004721]; phosphorelay sensor kinase activity [GO:0000155]; cellular response to magnesium starvation [GO:0010350]; osmosensory signaling via phosphorelay pathway [GO:0007234]; phosphorelay signal transduction system [GO:0000160]; protein autophosphorylation [GO:0046777]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoprotein phosphatase activity [GO:0004721]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0000160; GO:0004721; GO:0005524; GO:0005886; GO:0005887; GO:0007165; GO:0007234; GO:0010350; GO:0016301; GO:0042802; GO:0046777; GO:0046872	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.	
P23865	PRC_ECOLI	Tail-specific protease (EC 3.4.21.102) (C-terminal-processing peptidase) (PRC protein) (Protease Re)	prc tsp b1830 JW1819	tsp	prc	76,663	protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; response to antibiotic [GO:0046677]; signal transduction [GO:0007165]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; endopeptidase activity [GO:0004175]; serine-type endopeptidase activity [GO:0004252]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; response to antibiotic [GO:0046677]; signal transduction [GO:0007165]	endopeptidase activity [GO:0004175]; serine-type endopeptidase activity [GO:0004252]	GO:0004175; GO:0004252; GO:0005886; GO:0006508; GO:0007165; GO:0030163; GO:0030288; GO:0046677	SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein; Periplasmic side.	
P32155	PTFLA_ECOLI	PTS system fructose-like EIIA component (Fructose-like phosphotransferase enzyme IIA component)	frvA yiiK b3900 JW3871	yiiK	frvA	16,094	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]	GO:0005737; GO:0008982; GO:0009401; GO:0016021; GO:0016301	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	
P69801	PTNC_ECOLI	PTS system mannose-specific EIIC component (EII-P-Man) (EIIC-Man) (Mannose permease IIC component)	manY pel ptsP b1818 JW1807	pel ptsP	manY	27,636	glucose import across plasma membrane [GO:0098708]; mannose transmembrane transport [GO:0015761]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; protein-N(PI)-phosphohistidine-mannose phosphotransferase system transporter activity [GO:0022870]; glucose import across plasma membrane [GO:0098708]; mannose transmembrane transport [GO:0015761]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	protein-N(PI)-phosphohistidine-mannose phosphotransferase system transporter activity [GO:0022870]	GO:0005886; GO:0005887; GO:0009401; GO:0015761; GO:0016020; GO:0022870; GO:0098708	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|PROSITE-ProRule:PRU00429, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:31209249, ECO:0000269|PubMed:8774730}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00429, ECO:0000269|PubMed:31209249}.	
P65870	QUED_ECOLI	6-carboxy-5,6,7,8-tetrahydropterin synthase (CPH4 synthase) (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)	queD ygcM b2765 JW2735	ygcM	queD	13,773	queuosine biosynthetic process [GO:0008616]		6-carboxy-5,6,7,8-tetrahydropterin synthase activity [GO:0070497]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]; queuosine biosynthetic process [GO:0008616]	6-carboxy-5,6,7,8-tetrahydropterin synthase activity [GO:0070497]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]	GO:0008270; GO:0008616; GO:0042802; GO:0070497		
P0AAZ4	RARA_ECOLI	Replication-associated recombination protein A	rarA mgsA ycaJ b0892 JW0875	mgsA ycaJ	rarA	49,626	DNA-dependent DNA replication [GO:0006261]; DNA recombination [GO:0006310]; regulation of DNA repair [GO:0006282]	replisome [GO:0030894]	replisome [GO:0030894]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; enzyme activator activity [GO:0008047]; single-stranded DNA helicase activity [GO:0017116]; DNA recombination [GO:0006310]; DNA-dependent DNA replication [GO:0006261]; regulation of DNA repair [GO:0006282]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; enzyme activator activity [GO:0008047]; single-stranded DNA helicase activity [GO:0017116]	GO:0003677; GO:0005524; GO:0006261; GO:0006282; GO:0006310; GO:0008047; GO:0017116; GO:0030894		
P0A7R1	RL9_ECOLI	50S ribosomal protein L9 (Large ribosomal subunit protein bL9)	rplI b4203 JW4161		rplI	15,769	translation [GO:0006412]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005829; GO:0006412; GO:0022625; GO:0070180		
